"","line_text_star_final","line_text_final"
"218","7","아쿠아맨은 왜 아쿠아 힘을 안쓰는가이번편에서도 역시 원더우먼 언니는 멋졋다~^^"
"219","7","나 어릴적 디씨니 마블이니 그런건 몰랐지만 솔직히 지금의 마블 캐릭터는 슈퍼맨 배트맨에 비하면 듣보잡 정도였는데디씨는 자꾸 마블 따라가려 하지말고 정체성을 찾았으면 한다"
"220","7","포스터 제목이 잘못된거 같네요  혼자서도 세상을 구할수 있다  로 바꿔주세용"
"221","5","이 좋은 캐릭터를 두고 시나리오와 세계관은 10년 전의 유행을 답습 그래서 난 안습"
"222","7","Dc만의 정체성을 잃지말자 마블은 마블이고 dc는 dc로"
"223","7","그냥 슈퍼맨이 멋있는 영화"
"224","1",""
"225","1","슈퍼맨을 어떻게 이겼냐 매력없는 빌런 히어로는 덤"
"226","5","나름 쟈밋게 잘보앗네요"
"227","7","원더우먼 너무예쁘다 쌈도잘한다 5월개봉한건 못봣다 보고싶다 베트맨은 역시나 약하구 돈만많다슈퍼맨 강하다이길녀석들이 없지싶다 슈퍼맨이기는 녀석이라면 전멸할것같다유머는 없엇던것같다그래두나름재밋게본것같다"
"228","7","블랙핑크 개웃기네 뭔가 했는데 한국 걸그룹"
"229","6","이제야 조금 볼만하다 힘내라 DC"
"230","6","수어사이드 스쿼드가 묽은 설사라면저스티스 리그는 잘싼 황금변 정도는 됨"
"231","7","볼만했는데 마지막에 꽃피는장면은"
"232","7","슈퍼맨 얼굴 CG 너무 티나서 대사 칠때마다 집중안됨 맨오브스틸처럼 남색 빛 도는 슈트가 멋있었는데 이번 영화에선 너무 밝은톤 슈트 이상함 가자지구 폭격을 옹호하던 시오니스트가 평화의 상징 원더우먼 이라는것도 별"
"233","7","슈퍼맨 살리기 위해서 깍두기 영웅5명의 처절한 몸부림어차피 주인공은 슈퍼맨~~~~"
"234","7","배트맨좀멋있게해주면좋겠네요"
"235","7","나름대로 유머도 넣긴 넣다만 아재 개그같달까밸런스는 확실히 문제라고 생각함"
"236","1","4점짜리영화 밸런스 맞추러왔습니다"
"237","6","맨 오브 스틸이 그립다"
"238","6","잭 스나이더를 기다려보는걸로"
"239","7","처음엔 좋아하는 히어로들이 나와서 마냥 좋았다 영화가 중반까지 흘러간후에는 몰입이 이상하게 안되고 지루하더라 마지막 후반부는 결말이 뻔히 예상되니 긴장감이 없었다 왜 DC 는 마블에 안되는지 비교되는 영화였다"
"240","3","아싸식 민망한 개그 개연성 부족한 액션들끝"
"241","5","어설픈 연출 슈퍼맨 위엔 들러리배트맨이 이렇게 약할 수가 있나 싶다내가 알던 DC코믹북의 배트맨과는 넘나 동떨어진 캬악"
"242","5","에휴뭐가 할말이 있겠냐스나이더형"
"243","7","배트맨이 젤약하다"
"244","10","겔가돗 그녀의 매력에 푹빠져듭니다"
"245","1","인기있는 캐릭터들이 이렇게 많이 나오는데 유치하고 정말 재미가 없다"
"246","1","진짜 영상미도 스토리도 조ㄴ나허접함 눈 썩는다 썩어"
"247","1","재미없고유치하고"
"248","6","디씨는 마블을 못이겨정신차려"
"249","3","차라리 DC 특유의 어두운 분위기에  R등급 영화로 만들었으면 평가라도 좋았겠지흥행도 참패하고 평가도 참패하고DC 영화는 변화가 필요하다"
"250","5","DC만의 색깔이 있는데 마블처럼 하려다 이도저도 아닌 영화됨 적어도 뭐하나 갈등이나 리그가 쉽게 만들어지지 않았다라는 점이라도 다뤘음 했는데 첨부터 우린 안돼 슈퍼맨 버프 있으니까 5명 개갤되다가 2시간 채웠"
"251","7","결론은 슈퍼맨이짱ㄷㄷ"
"252","5","이렇게 밖에 못 만드는 것도 능력이다"
"253","5","인간 한 명은 세상을 구하지 못하지만 외계인 한 명은 세상을 구할 수 이씀"
"254","7","저스티스 리그보다는 슈퍼맨과 아이들이 더 어울릴듯"
